candidate_id,A,B,C,D,E,F/N,F/S,G/N,G/S,H/E,H/W,K/E,K/W,L,M/E,M/W,N,P/N,P/S,R/C,R/N,R/S,S,T
CAND_0018,26.60666666666667,21.532,22.546,19.7225,19.5835,17.460500000000003,16.506999999999998,10.976666666666668,16.8675,7.704166666666667,9.435333333333334,5.216166666666667,8.719333333333333,10.481,14.951,15.514166666666666,13.407666666666668,12.7115,5.968999999999999,17.761333333333333,16.732833333333335,11.054767648768076,17.149166666666666,23.54383333333333
CAND_0019,7.283166666666667,2.5883333333333334,2.926333333333333,5.501,6.043833333333334,14.575333333333331,8.0645,11.806833333333334,8.496500000000001,18.22383333333333,16.315833333333334,23.706333333333337,26.156,18.467,15.5205,14.361166666666666,18.5455,30.619833333333336,23.877333333333336,35.669666666666664,34.64116666666666,28.3805,24.8455,30.967166666666667
CAND_0020,7.643333333333333,5.189666666666667,4.9375,2.881666666666667,7.184,15.7155,9.204666666666666,12.947,7.635833333333333,19.267333333333333,17.456,24.662333333333333,27.296166666666668,19.607166666666668,17.471999999999998,16.312833333333334,19.909666666666663,31.57583333333333,24.83333333333333,36.62566666666667,35.597166666666666,29.3365,26.209666666666667,32.3315
CAND_0021,39.74083333333333,34.66616666666666,35.680166666666665,32.85666666666667,32.717666666666666,30.59466666666667,29.641166666666667,24.110833333333336,30.001666666666665,20.83833333333333,23.50316666666667,17.481166666666663,20.43566666666667,23.615166666666667,28.085166666666662,28.6485,26.541833333333333,10.713,13.953833333333334,4.1875,5.559,8.401833333333334,27.07283333333333,33.4675
CAND_0022,7.03,6.054833333333334,4.8983333333333325,3.255333333333333,8.049166666666666,16.580833333333334,10.069833333333332,13.812166666666666,8.501,20.1325,18.321166666666667,25.52766666666667,28.16133333333333,20.47233333333333,18.337333333333333,17.178,20.774833333333333,32.441,25.698500000000003,37.49083333333333,36.4625,30.201666666666664,27.075,33.196666666666665
CAND_0023,7.41,4.329,3.322166666666667,3.673666666666666,6.405,14.9365,8.425666666666666,12.168,8.254333333333333,18.585,16.676833333333335,24.0675,26.517166666666665,18.828166666666668,16.6115,15.452166666666669,19.130666666666663,30.981,24.2385,36.03083333333333,35.00233333333333,28.741666666666667,25.430666666666664,31.5525
CAND_0024,2.74,6.481166666666667,6.541333333333333,9.247333333333334,11.423666666666666,19.78983333333333,13.266166666666669,17.684166666666666,14.373833333333332,24.101166666666664,22.193,29.583666666666662,32.03333333333333,24.34433333333333,19.41333333333333,18.254,22.438166666666667,36.497166666666665,29.754666666666665,41.547,40.5185,34.25783333333333,28.738333333333333,34.86
CAND_0025,4.1546666666666665,11.3285,10.413666666666668,12.308666666666666,15.859166666666663,24.390666666666668,17.879833333333334,21.622166666666665,17.799333333333333,27.30633333333333,26.059666666666665,32.70133333333333,35.511,28.282333333333334,24.26066666666667,23.101333333333333,27.285666666666668,39.61483333333333,32.87233333333333,44.66466666666667,43.63633333333333,37.3755,33.58566666666667,39.7075
CAND_0026,28.663833333333333,23.589166666666664,24.603166666666667,21.779666666666667,21.640666666666668,19.51783333333333,18.564166666666665,13.034,18.92483333333333,9.761333333333331,9.191166666666668,5.773166666666667,4.862833333333333,12.478833333333334,17.008166666666668,17.5715,15.465,11.617333333333333,5.8275,17.619833333333336,16.591333333333335,10.330666666666668,17.483999999999998,23.878666666666668
CAND_0027,25.985833333333336,21.237726952572295,23.063666666666663,25.116666666666667,22.26983333333333,18.562166666666663,19.1935,18.643666666666665,21.511166666666668,15.715,20.694000000000003,21.488,25.35033333333333,15.3415,8.820863006400689,12.5305,12.123,29.49866666666667,22.756166666666665,34.5485,33.52016666666667,27.25933333333333,18.423,23.59433333333333
CAND_0028,2.1875,7.828833333333334,6.913833333333333,9.62,12.3595,20.891,14.380166666666666,18.122333333333334,14.812166666666666,24.5395,22.63133333333333,30.022,32.471666666666664,24.7825,20.761000000000003,19.601666666666667,23.786,36.935500000000005,30.193,41.98533333333333,40.95683333333333,34.69616666666666,30.086,36.20766666666667
CAND_0029,19.9155,13.793833333333334,16.801333333333336,16.695,13.838666666666668,10.7545,10.762166666666667,10.2125,13.08,8.551833333333333,13.409,14.324666666666667,18.187,8.178166666666666,4.138166666666667,4.976166666666667,5.990833333333333,22.335500000000003,15.593,27.38533333333333,26.35683333333333,20.096166666666665,12.290833333333332,18.412666666666667
CAND_0030,7.579333333333333,6.629333333333333,5.662166666666667,2.1993333333333336,8.623666666666667,17.155166666666666,10.644333333333332,14.386666666666668,8.379833333333334,18.66483333333333,17.418333333333333,24.06,26.869666666666667,21.04683333333333,18.91183333333333,17.7525,21.34933333333333,30.9735,24.231,36.02333333333333,34.99483333333333,28.734166666666667,27.64933333333333,33.771166666666666
CAND_0031,7.771666666666666,5.5325,5.280333333333333,1.3791666666666669,7.526833333333333,16.058333333333334,9.5475,13.289833333333332,7.978666666666667,18.675166666666662,17.4285,24.07033333333333,26.87983333333333,19.95,17.815,16.65566666666667,20.2525,30.983833333333333,24.24116666666667,36.0335,35.00516666666667,28.7445,26.5525,32.67433333333334
CAND_0032,8.880166666666666,6.014833333333333,5.885833333333333,1.5526666666666666,7.216333333333334,15.748,9.237,12.979333333333331,7.230333333333333,17.5155,16.268833333333333,22.910500000000003,25.720166666666668,19.6395,18.103,17.137999999999998,19.942,29.824,23.0815,34.87383333333333,33.845333333333336,27.584666666666667,26.242166666666662,32.36383333333333
CAND_0033,8.110000000000001,6.475,6.192833333333334,1.5113333333333334,8.062999999999999,16.594666666666665,10.083666666666666,13.826,8.514833333333334,18.807333333333336,17.560833333333335,24.2025,27.012166666666666,20.48616666666667,18.7575,17.598166666666668,20.788666666666664,31.116,24.3735,36.16583333333333,35.13733333333333,28.876666666666665,27.088833333333334,33.2105
CAND_0034,7.766333333333334,6.816333333333334,5.849166666666666,2.3865,8.810833333333333,17.342333333333332,10.8315,14.573666666666666,8.566833333333333,18.852,17.60533333333333,24.247,27.05666666666667,21.233833333333333,19.09883333333333,17.9395,21.5365,31.160500000000003,24.418,36.21033333333333,35.182,28.921166666666668,27.8365,33.95816666666666
CAND_0035,8.355833333333333,6.720833333333333,6.438666666666666,2.105833333333333,8.657666666666668,17.189166666666665,10.678166666666668,14.4205,8.904,19.189166666666665,17.9425,24.584166666666665,27.393833333333337,21.080666666666666,19.00333333333333,17.844,21.383166666666668,31.497666666666664,24.755166666666664,36.5475,35.519,29.258333333333333,27.683333333333334,33.805
CAND_0036,7.548666666666667,6.098166666666667,5.6315,1.5718333333333334,8.0925,16.624000000000002,10.113166666666666,13.8555,8.020999999999999,18.306166666666662,17.0595,23.70133333333333,26.51083333333333,20.515666666666668,18.380666666666663,17.221333333333334,20.818166666666663,30.61466666666667,23.872166666666665,35.6645,34.63616666666667,28.3755,27.118166666666664,33.24
CAND_0037,9.776666666666667,6.911333333333333,6.782333333333333,2.4491666666666663,7.915833333333333,16.2895,9.9365,13.520833333333334,7.663166666666667,17.948333333333334,16.701666666666668,23.34333333333333,26.153,20.181,18.6445,18.0345,20.483666666666668,30.256833333333336,23.514333333333333,35.306666666666665,34.27833333333333,28.0175,26.783666666666665,32.90533333333333
CAND_0038,6.346333333333333,5.1745,4.214666666666667,3.3411666666666666,7.2505,15.782,9.271166666666666,13.013333333333332,8.259666666666666,19.4305,17.522333333333332,24.913,27.362666666666662,19.6735,17.457,16.297666666666668,19.976166666666664,31.8265,25.084,36.876333333333335,35.847833333333334,29.58716666666667,26.276166666666665,32.398
CAND_0039,7.454499999999999,5.819333333333334,5.537333333333334,2.0276666666666667,7.813833333333333,16.345333333333333,9.8345,13.576666666666666,8.2655,18.762166666666666,17.5155,24.157333333333334,26.966833333333334,20.236833333333333,18.10183333333333,16.9425,20.5395,31.070666666666668,24.328166666666668,36.1205,35.09216666666667,28.831333333333337,26.8395,32.961333333333336
